"Georgia Department of Education

School System Expenditures
Fiscal Year 2025 Financial Data Collection System",,,,,,,,,,,,,,,,,,,,
,"Please note: Systems marked with *  received funds that followed students to other systems.
              Legend at bottom of the page.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Records are sorted in Ascending order by System_id,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,System ID,System Name,FTE Reported on 2025 QBE Allotment,Instruction,Per FTE Instruction,Pupil Services,Per FTE Pupil Services,Staff Services,,Per FTE Staff Services,General Administration,Per FTE General Administration,School Administration,Per FTE School Administration,Transportation,Per FTE Transportation,Maintenance & Operation,Per FTE Maintenance & Operation,Total Expenditure,Per FTE total Expenditure
, 601,Appling County,"3,266","31,701,772.10","9,706.61","2,010,720.18",615.65,"2,497,316.76",,764.64,"1,612,738.99",493.80,"2,915,738.16",892.76,"2,754,560.82",843.41,"4,371,011.18","1,338.34","47,863,858.19","14,655.21"
, 602,Atkinson County,"1,557","14,281,060.42","9,172.16","966,996.40",621.06,"1,395,145.01",,896.05,"871,101.03",559.47,"1,528,447.47",981.66,"1,216,345.13",781.21,"1,820,784.84","1,169.42","22,079,880.30","14,181.03"
, 603,Bacon County,"2,067","18,421,750.83","8,912.31","1,819,601.70",880.31,"2,089,258.19",,"1,010.77","1,234,998.30",597.48,"1,657,365.03",801.82,"1,838,815.23",889.61,"2,857,799.77","1,382.58","29,919,589.05","14,474.88"
, 604,Baker County,277,"3,482,885.62","12,573.59","197,619.96",713.43,"443,736.48",,"1,601.94","630,581.32","2,276.47","271,224.39",979.15,"345,230.98","1,246.32","638,413.25","2,304.74","6,009,692.00","21,695.64"
, 605,Baldwin County,"4,244","36,432,311.72","8,584.43","2,860,942.33",674.11,"4,886,781.18",,"1,151.46","3,056,761.85",720.25,"3,958,102.30",932.63,"5,870,670.53","1,383.29","5,308,217.44","1,250.76","62,373,787.35","14,696.93"
, 606,Banks County,"2,835","28,419,113.52","10,024.38","2,475,383.85",873.15,"2,588,199.33",,912.95,"2,526,161.72",891.06,"2,342,239.88",826.19,"2,880,179.03","1,015.94","3,328,854.19","1,174.20","44,560,131.52","15,717.87"
, 607,Barrow County,"15,468","146,698,216.03","9,483.98","12,393,312.26",801.22,"13,807,031.92",,892.62,"9,390,988.03",607.12,"11,775,064.19",761.25,"14,133,220.62",913.71,"17,518,415.31","1,132.56","225,716,248.36","14,592.46"
, 608,Bartow County,"13,788","150,193,472.52","10,893.06","10,495,901.79",761.23,"8,165,182.71",,592.19,"7,710,888.81",559.25,"15,008,038.24","1,088.49","12,760,269.52",925.46,"15,967,631.69","1,158.08","220,301,385.28","15,977.76"
, 609,Ben Hill County,"2,640","27,419,253.04","10,386.08","2,042,689.77",773.75,"790,239.24",,299.33,"2,610,554.45",988.85,"2,437,467.79",923.28,"1,992,198.63",754.62,"3,027,905.48","1,146.93","40,320,308.40","15,272.84"
, 610,Berrien County,"2,945","25,712,581.50","8,730.93","1,765,934.09",599.64,"1,752,030.78",,594.92,"1,516,511.97",514.94,"1,988,806.40",675.32,"2,382,579.88",809.03,"3,084,965.90","1,047.53","38,203,410.52","12,972.31"
, 611,Bibb County,"20,784","185,649,515.23","8,932.33","17,343,694.11",834.47,"30,023,830.65",,"1,444.56","22,574,354.67","1,086.14","21,513,422.00","1,035.10","14,133,819.18",680.03,"27,262,985.44","1,311.73","318,501,621.28","15,324.36"
, 612,Bleckley County,"2,453","21,167,903.64","8,629.39","1,685,731.84",687.21,"1,019,002.62",,415.41,"1,370,671.63",558.77,"2,101,211.48",856.59,"2,613,566.47","1,065.46","2,570,401.34","1,047.86","32,528,489.02","13,260.69"
, 613,Brantley County,"3,209","28,286,806.33","8,814.84","2,173,257.23",677.24,"2,071,373.56",,645.49,"1,600,908.82",498.88,"3,515,974.82","1,095.66","3,163,200.28",985.73,"5,215,960.79","1,625.42","46,027,481.83","14,343.26"
, 614,Brooks County,"2,159","19,191,403.20","8,889.02","2,136,845.86",989.74,"2,120,210.50",,982.03,"2,855,073.23","1,322.41","2,425,760.95","1,123.56","2,736,297.24","1,267.39","3,455,792.16","1,600.64","34,921,383.14","16,174.79"
, 615,Bryan County,"10,439","86,062,472.06","8,244.32","5,399,381.04",517.23,"7,832,921.48",,750.35,"5,471,590.54",524.15,"8,706,594.56",834.04,"6,955,703.86",666.32,"11,088,967.45","1,062.26","131,517,630.99","12,598.67"
, 616,Bulloch County,"10,610","100,980,396.79","9,517.47","15,148,592.11","1,427.77","7,824,663.50",,737.48,"7,943,342.42",748.67,"10,776,729.60","1,015.71","8,512,407.60",802.30,"13,923,188.64","1,312.27","165,109,320.66","15,561.67"
, 617,Burke County,"3,626","48,016,072.33","13,242.16","2,793,027.22",770.28,"6,087,866.95",,"1,678.95","4,281,554.69","1,180.79","4,563,756.05","1,258.62","9,334,342.65","2,574.28","6,597,180.86","1,819.41","81,673,800.75","22,524.49"
, 618,Butts County,"3,361","29,353,529.25","8,733.57","4,567,148.81","1,358.87","3,184,827.70",,947.58,"2,351,639.60",699.68,"4,142,088.69","1,232.40","3,237,791.16",963.34,"3,175,178.71",944.71,"50,012,203.92","14,880.15"
, 619,Calhoun County,433,"4,460,335.08","10,301.00","455,504.62","1,051.97","856,560.69",,"1,978.20","1,118,584.23","2,583.34","688,573.82","1,590.24","976,687.79","2,255.63","1,204,911.55","2,782.71","9,761,157.78","22,543.09"
, 620,Camden County,"9,563","78,780,581.64","8,238.06","7,211,315.41",754.09,"7,757,253.36",,811.17,"2,783,014.76",291.02,"7,809,614.01",816.65,"5,629,124.87",588.64,"10,795,191.74","1,128.85","120,766,095.79","12,628.48"
, 621,Candler County,"2,051","19,363,634.24","9,441.07","913,964.02",445.62,"1,770,772.18",,863.37,"1,829,727.10",892.11,"1,844,236.89",899.19,"1,249,071.03",609.01,"2,279,194.45","1,111.26","29,250,599.91","14,261.63"
, 622,Carroll County,"15,981","140,338,112.88","8,781.56","8,664,227.82",542.16,"8,470,111.21",,530.01,"6,317,762.54",395.33,"14,868,254.98",930.37,"12,701,932.82",794.81,"20,590,655.68","1,288.45","211,951,057.93","13,262.69"
, 623,Catoosa County,"9,890","97,388,543.42","9,847.17","7,523,974.13",760.77,"6,863,649.41",,694.00,"3,717,928.75",375.93,"10,570,867.48","1,068.84","8,439,225.14",853.31,"12,262,587.13","1,239.90","146,766,775.46","14,839.92"
, 624,Charlton County,"1,525","14,710,571.98","9,646.28","938,941.75",615.70,"1,900,449.36",,"1,246.20","1,038,558.83",681.02,"1,630,805.12","1,069.38","1,299,343.16",852.03,"2,262,179.42","1,483.40","23,780,849.62","15,594.01"
, 625,Savannah-Chatham County,"34,915","374,211,231.99","10,717.78","45,226,350.67","1,295.33","34,312,362.08",,982.74,"38,500,107.66","1,102.68","39,343,339.34","1,126.83","34,161,232.78",978.41,"69,556,155.16","1,992.16","635,310,779.68","18,195.93"
, 626,Chattahoochee County,921,"7,802,342.54","8,471.60","950,748.64","1,032.30","622,778.43",,676.20,"983,940.62","1,068.34","1,310,518.89","1,422.93","873,392.37",948.31,"1,834,619.90","1,991.99","14,378,341.39","15,611.67"
, 627,Chattooga County,"2,592","21,874,506.80","8,439.24","1,824,951.20",704.07,"2,496,231.06",,963.05,"1,667,973.00",643.51,"1,995,069.82",769.70,"2,359,673.16",910.37,"3,113,257.96","1,201.10","35,331,663.00","13,631.04"
, 628,Cherokee County,"43,079","403,009,936.92","9,355.14","35,081,023.31",814.34,"32,577,636.21",,756.23,"14,415,048.30",334.62,"35,280,495.32",818.97,"32,967,435.82",765.28,"50,797,364.82","1,179.17","604,128,940.70","14,023.75"
, 629,Clarke County,"12,135","151,859,446.37","12,514.17","18,084,857.39","1,490.31","19,867,599.49",,"1,637.21","10,436,887.26",860.06,"14,105,400.15","1,162.37","15,054,180.25","1,240.56","27,536,493.85","2,269.18","256,944,864.76","21,173.86"
, 630,Clay County,173,"3,239,062.03","18,722.90","406,084.82","2,347.31","820,331.61",,"4,741.80","801,996.32","4,635.82","486,722.63","2,813.43","275,041.01","1,589.83","438,539.31","2,534.91","6,467,777.73","37,386.00"
, 631,Clayton County,"51,724","469,634,149.94","9,079.62","55,375,455.36","1,070.59","57,666,759.61",,"1,114.89","41,002,516.81",792.72,"43,445,072.79",839.94,"47,740,692.27",922.99,"75,328,860.79","1,456.36","790,193,507.57","15,277.11"
, 632,Clinch County,"1,173","11,240,515.68","9,582.71","1,314,658.12","1,120.77","965,631.82",,823.22,"910,848.45",776.51,"868,171.38",740.13,"839,854.84",715.99,"1,938,082.49","1,652.24","18,077,762.78","15,411.57"
, 633,Cobb County,"109,011","1,215,100,163.07","11,146.58","50,649,044.20",464.62,"85,643,362.07",,785.64,"76,737,494.02",703.94,"108,364,903.28",994.07,"84,989,729.01",779.64,"113,894,119.85","1,044.79","1,735,378,815.50","15,919.28"
, 634,Coffee County,"7,450","63,041,190.12","8,461.90","7,376,131.61",990.08,"6,202,770.30",,832.59,"2,955,770.51",396.75,"7,212,788.41",968.16,"6,308,479.96",846.78,"8,042,089.21","1,079.48","101,139,220.12","13,575.74"
, 635,Colquitt County,"8,778","82,797,352.22","9,432.37","8,207,565.89",935.02,"10,468,940.27",,"1,192.63","3,123,778.64",355.86,"6,810,853.91",775.90,"4,762,384.95",542.54,"13,122,190.30","1,494.90","129,293,066.18","14,729.22"
, 636,Columbia County,"28,626","238,292,016.00","8,324.32","9,704,847.36",339.02,"21,087,107.16",,736.64,"6,362,050.89",222.25,"21,149,900.30",738.84,"18,962,392.73",662.42,"32,400,002.16","1,131.84","347,958,316.60","12,155.33"
, 637,Cook County,"2,867","26,118,737.05","9,110.13","1,931,186.07",673.59,"1,293,736.36",,451.25,"1,793,934.46",625.72,"2,267,042.88",790.74,"2,376,519.82",828.92,"3,934,754.71","1,372.43","39,715,911.35","13,852.78"
, 638,Coweta County,"22,759","217,100,589.70","9,539.11","14,859,194.51",652.89,"10,808,800.85",,474.92,"9,509,890.03",417.85,"22,439,029.41",985.94,"17,683,932.40",777.01,"28,469,331.89","1,250.90","320,870,768.79","14,098.62"
, 639,Crawford County,"1,470","13,845,754.07","9,418.88","1,765,485.83","1,201.01","1,066,938.45",,725.81,"1,073,200.19",730.07,"1,709,400.75","1,162.86","1,455,556.33",990.17,"1,658,728.13","1,128.39","22,575,063.75","15,357.19"
, 640,Crisp County,"3,117","30,726,529.34","9,857.73","3,400,410.82","1,090.92","3,246,707.73",,"1,041.61","2,421,346.68",776.82,"3,500,039.16","1,122.89","2,804,383.20",899.71,"5,726,661.81","1,837.24","51,826,078.74","16,626.92"
