,,,,,,,,,,,,,
"Georgia Department of Education

School System Revenues
Fiscal Year 2025 Financial Data Collection System",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Please note: Systems marked with *  received funds that followed students to other systems.
              Legend at bottom of the page.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Records are sorted in Ascending order by System_id,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
System ID,System Name,FTE Reported on 2025 QBE Allotment,Local Revenues,Per FTE Local,% Local,State Revenues,Per FTE State,% State,Federal Revenues,Per FTE Federal,% Federal,Total Revenues,Per FTE Total Revenues
 601,Appling County,"3,266","18,751,117.94","5,741.31",39.42,"24,478,894.56","7,495.07",51.46,"4,339,362.74","1,328.65",9.12,"47,569,375.24","14,565.03"
 602,Atkinson County,"1,557","3,570,825.33","2,293.40",16.14,"16,505,820.27","10,601.04",74.58,"2,053,660.94","1,318.99",9.28,"22,130,306.54","14,213.43"
 603,Bacon County,"2,067","6,679,507.34","3,231.50",21.46,"21,873,995.16","10,582.48",70.29,"2,565,223.00","1,241.04",8.24,"31,118,725.50","15,055.02"
 604,Baker County,277,"2,533,164.46","9,145.00",37.43,"3,120,205.78","11,264.28",46.11,"1,113,605.19","4,020.24",16.46,"6,766,975.43","24,429.52"
 605,Baldwin County,"4,244","24,086,072.35","5,675.32",38.90,"30,188,577.20","7,113.24",48.75,"7,644,487.99","1,801.25",12.35,"61,919,137.54","14,589.81"
 606,Banks County,"2,835","19,552,201.62","6,896.72",43.19,"23,931,386.13","8,441.41",52.86,"1,788,935.92",631.02,3.95,"45,272,523.67","15,969.15"
 607,Barrow County,"15,468","84,347,109.58","5,453.01",36.86,"131,332,086.34","8,490.57",57.40,"13,140,067.13",849.50,5.74,"228,819,263.05","14,793.08"
 608,Bartow County,"13,788","112,324,661.46","8,146.55",49.51,"99,337,135.11","7,204.61",43.79,"15,193,327.84","1,101.92",6.70,"226,855,124.41","16,453.08"
 609,Ben Hill County,"2,640","9,297,494.97","3,521.78",21.10,"30,734,192.62","11,641.74",69.73,"4,042,429.75","1,531.22",9.17,"44,074,117.34","16,694.74"
 610,Berrien County,"2,945","8,562,272.52","2,907.39",22.02,"27,299,144.27","9,269.66",70.22,"3,015,209.93","1,023.84",7.76,"38,876,626.72","13,200.89"
 611,Bibb County,"20,784","106,756,446.60","5,136.47",33.24,"169,670,829.44","8,163.53",52.83,"44,731,002.65","2,152.18",13.93,"321,158,278.69","15,452.18"
 612,Bleckley County,"2,453","6,197,619.64","2,526.55",17.37,"26,927,904.44","10,977.54",75.47,"2,553,847.29","1,041.11",7.16,"35,679,371.37","14,545.20"
 613,Brantley County,"3,209","7,531,548.22","2,347.01",16.61,"34,653,017.86","10,798.70",76.42,"3,162,581.00",985.53,6.97,"45,347,147.08","14,131.24"
 614,Brooks County,"2,159","10,390,336.10","4,812.57",28.64,"22,189,412.32","10,277.63",61.17,"3,693,943.25","1,710.95",10.18,"36,273,691.67","16,801.15"
 615,Bryan County,"10,439","52,790,764.72","5,057.07",37.96,"81,257,361.27","7,784.02",58.42,"5,032,863.18",482.12,3.62,"139,080,989.17","13,323.21"
 616,Bulloch County,"10,610","58,245,764.09","5,489.70",36.19,"94,577,691.80","8,914.01",58.77,"8,117,539.03",765.08,5.04,"160,940,994.92","15,168.79"
 617,Burke County,"3,626","128,902,048.16","35,549.38",90.58,"4,923,472.67","1,357.82",3.46,"8,484,010.59","2,339.77",5.96,"142,309,531.42","39,246.97"
 618,Butts County,"3,361","23,122,172.52","6,879.55",43.71,"25,427,206.03","7,565.37",48.07,"4,345,340.55","1,292.87",8.22,"52,894,719.10","15,737.79"
 619,Calhoun County,433,"3,375,439.89","7,795.47",33.04,"4,997,789.82","11,542.24",48.93,"1,841,813.91","4,253.61",18.03,"10,215,043.62","23,591.32"
 620,Camden County,"9,563","40,593,645.83","4,244.87",31.42,"79,927,918.28","8,358.04",61.86,"8,689,768.42",908.69,6.73,"129,211,332.53","13,511.60"
 621,Candler County,"2,051","7,083,434.17","3,453.65",23.71,"20,109,605.95","9,804.78",67.31,"2,681,780.66","1,307.55",8.98,"29,874,820.78","14,565.98"
 622,Carroll County,"15,981","74,406,295.05","4,655.92",33.29,"137,337,760.34","8,593.82",61.45,"11,733,957.21",734.24,5.25,"223,478,012.60","13,983.98"
 623,Catoosa County,"9,890","53,340,213.40","5,393.35",36.27,"87,732,608.61","8,870.84",59.65,"5,999,057.54",606.58,4.08,"147,071,879.55","14,870.77"
 624,Charlton County,"1,525","6,726,637.51","4,410.91",27.53,"15,546,982.68","10,194.74",63.64,"2,156,398.25","1,414.03",8.83,"24,430,018.44","16,019.68"
 625,Savannah-Chatham County,"34,915","436,072,910.02","12,489.56",61.59,"219,287,870.18","6,280.62",30.97,"52,619,797.63","1,507.08",7.43,"707,980,577.83","20,277.26"
 626,Chattahoochee County,921,"2,295,056.92","2,491.92",13.84,"11,128,965.08","12,083.57",67.10,"3,161,053.37","3,432.20",19.06,"16,585,075.37","18,007.69"
 627,Chattooga County,"2,592","11,682,236.83","4,507.04",30.22,"24,179,060.75","9,328.34",62.55,"2,795,124.26","1,078.37",7.23,"38,656,421.84","14,913.75"
 628,Cherokee County,"43,079","312,811,039.54","7,261.33",50.00,"296,052,217.05","6,872.31",47.32,"16,727,154.10",388.29,2.67,"625,590,410.69","14,521.93"
 629,Clarke County,"12,135","151,134,977.81","12,454.47",58.25,"90,830,116.42","7,484.97",35.01,"17,486,776.54","1,441.02",6.74,"259,451,870.77","21,380.46"
 630,Clay County,173,"1,851,716.74","10,703.56",29.61,"2,666,153.41","15,411.29",42.64,"1,735,402.43","10,031.23",27.75,"6,253,272.58","36,146.08"
 631,Clayton County,"51,724","267,928,111.55","5,179.96",34.69,"419,899,662.66","8,118.08",54.36,"84,587,610.46","1,635.36",10.95,"772,415,384.67","14,933.40"
 632,Clinch County,"1,173","6,184,097.00","5,272.03",31.05,"12,297,441.05","10,483.75",61.74,"1,435,437.35","1,223.73",7.21,"19,916,975.40","16,979.51"
 633,Cobb County,"109,011","895,759,146.90","8,217.14",52.14,"748,779,304.79","6,868.84",43.58,"73,511,630.36",674.35,4.28,"1,718,050,082.05","15,760.33"
 634,Coffee County,"7,450","20,669,404.09","2,774.42",19.83,"72,999,210.03","9,798.55",70.05,"10,545,893.98","1,415.56",10.12,"104,214,508.10","13,988.53"
 635,Colquitt County,"8,778","26,861,094.13","3,060.05",19.52,"100,941,385.93","11,499.36",73.35,"9,811,113.35","1,117.69",7.13,"137,613,593.41","15,677.10"
 636,Columbia County,"28,626","157,259,406.04","5,493.59",40.68,"217,399,076.89","7,594.46",56.24,"11,915,191.92",416.24,3.08,"386,573,674.85","13,504.29"
 637,Cook County,"2,867","9,296,068.68","3,242.44",22.78,"27,704,158.69","9,663.12",67.89,"3,804,479.78","1,326.99",9.32,"40,804,707.15","14,232.55"
 638,Coweta County,"22,759","162,731,951.62","7,150.22",49.37,"149,022,849.84","6,547.86",45.21,"17,867,608.87",785.08,5.42,"329,622,410.33","14,483.16"
 639,Crawford County,"1,470","7,795,002.00","5,302.72",33.17,"14,041,209.94","9,551.84",59.75,"1,665,196.67","1,132.79",7.09,"23,501,408.61","15,987.35"
 640,Crisp County,"3,117","14,100,000.38","4,523.58",27.00,"31,272,368.84","10,032.84",59.88,"6,848,903.13","2,197.27",13.12,"52,221,272.35","16,753.69"
 641,Dade County,"1,885","9,785,723.29","5,191.37",37.08,"15,123,449.28","8,023.05",57.31,"1,480,407.60",785.36,5.61,"26,389,580.17","13,999.78"
 642,Dawson County,"4,258","35,084,583.60","8,239.69",54.54,"27,413,382.50","6,438.09",42.62,"1,829,674.37",429.70,2.84,"64,327,640.47","15,107.48"
 643,Decatur County,"4,010","20,421,995.93","5,092.77",33.36,"34,325,084.01","8,559.87",56.07,"6,472,426.14","1,614.07",10.57,"61,219,506.08","15,266.71"
 644,DeKalb County,"93,513","1,010,115,796.99","10,801.88",54.91,"639,190,905.47","6,835.32",34.75,"190,336,118.82","2,035.40",10.35,"1,839,642,821.28","19,672.60"
 645,Dodge County,"2,580","8,340,180.06","3,232.63",20.24,"27,039,666.25","10,480.49",65.62,"5,827,633.81","2,258.77",14.14,"41,207,480.12","15,971.89"
 646,Dooly County,"1,045","9,120,169.26","8,727.43",41.15,"9,279,578.90","8,879.98",41.87,"3,762,007.64","3,600.01",16.98,"22,161,755.80","21,207.42"
 647,Dougherty County,"12,526","52,955,996.05","4,227.69",25.34,"127,672,232.83","10,192.58",61.09,"28,355,073.18","2,263.70",13.57,"208,983,302.06","16,683.97"
 648,Douglas County,"25,849","146,530,791.63","5,668.72",40.53,"191,815,143.62","7,420.60",53.05,"23,212,589.31",898.01,6.42,"361,558,524.56","13,987.33"
 649,Early County,"1,426","9,395,490.87","6,588.70",37.41,"13,207,933.11","9,262.23",52.59,"2,512,511.87","1,761.93",10.00,"25,115,935.85","17,612.86"
 650,Echols County,917,"2,498,132.18","2,724.24",19.14,"9,554,471.74","10,419.27",73.20,"999,683.42","1,090.17",7.66,"13,052,287.34","14,233.68"
 651,Effingham County,"14,067","71,844,764.40","5,107.33",36.19,"120,399,396.17","8,559.00",60.65,"6,259,644.74",444.99,3.15,"198,503,805.31","14,111.32"
 652,Elbert County,"2,887","14,332,734.55","4,964.58",30.83,"27,320,625.26","9,463.33",58.76,"4,842,298.01","1,677.28",10.41,"46,495,657.82","16,105.19"
 653,Emanuel County,"3,768","10,832,504.40","2,874.87",19.06,"39,432,696.70","10,465.15",69.37,"6,577,999.38","1,745.75",11.57,"56,843,200.48","15,085.77"
 654,Evans County,"1,733","5,858,264.03","3,380.42",21.44,"19,071,497.60","11,004.90",69.81,"2,391,277.15","1,379.85",8.75,"27,321,038.78","15,765.17"
 655,Fannin County,"2,682","29,035,010.17","10,825.88",64.55,"13,598,898.48","5,070.43",30.23,"2,347,269.86",875.19,5.22,"44,981,178.51","16,771.50"
 656,Fayette County,"19,849","156,280,503.55","7,873.47",51.61,"138,493,156.72","6,977.34",45.74,"8,017,337.83",403.92,2.65,"302,790,998.10","15,254.73"
 657,Floyd County,"8,682","60,613,111.77","6,981.47",41.34,"79,032,981.72","9,103.08",53.91,"6,964,706.29",802.20,4.75,"146,610,799.78","16,886.75"
 658,Forsyth County,"55,313","385,716,325.41","6,973.34",51.90,"343,157,458.27","6,203.92",46.18,"14,287,270.23",258.30,1.92,"743,161,053.91","13,435.56"
 659,Franklin County,"3,604","18,504,779.37","5,134.51",35.56,"30,357,845.64","8,423.38",58.33,"3,178,576.17",881.96,6.11,"52,041,201.18","14,439.85"
 660,Fulton County,"86,863","909,199,909.94","10,467.06",61.11,"505,278,907.95","5,816.96",33.96,"73,365,609.73",844.61,4.93,"1,487,844,427.62","17,128.63"
 661,Gilmer County,"4,174","28,015,071.69","6,711.80",47.15,"26,697,042.69","6,396.03",44.93,"4,708,341.34","1,128.02",7.92,"59,420,455.72","14,235.85"
 662,Glascock County,548,"1,850,298.27","3,376.46",19.45,"6,091,019.00","11,115.00",64.03,"1,571,638.61","2,867.95",16.52,"9,512,955.88","17,359.41"
 663,Glynn County,"12,701","110,192,202.86","8,675.87",55.11,"76,482,055.48","6,021.73",38.25,"13,262,771.00","1,044.23",6.63,"199,937,029.34","15,741.83"
 664,Gordon County,"6,104","26,942,227.04","4,413.86",30.48,"56,876,729.59","9,317.94",64.35,"4,571,702.59",748.97,5.17,"88,390,659.22","14,480.77"
