"System_ID","FIPS","System_Name","FTE_Reported_on_2025_QBE_Allotment","Local_Revenues","Per_FTE_Local","X_Local","State_Revenues","Per_FTE_State","X_State","Federal_Revenues","Per_FTE_Federal","X_Federal","Total_Revenues","Per_FTE_Total_Revenues","Instruction","Per_FTE_Instruction","Pupil_Services","Per_FTE_Pupil_Services","Staff_Services","X","Per_FTE_Staff_Services","General_Administration","Per_FTE_General_Administration","School_Administration","Per_FTE_School_Administration","Transportation","Per_FTE_Transportation","Maintenance_Operation","Per_FTE_Maintenance_Operation","Total_Expenditure","Per_FTE_total_Expenditure"
"601","13001","Appling County","3,266","18,751,117.94","5,741.31","39.42","24,478,894.56","7,495.07","51.46","4,339,362.74","1,328.65","9.12","47,569,375.24","14,565.03","31,701,772.10","9,706.61","2,010,720.18","615.65","2,497,316.76","","764.64","1,612,738.99","493.8","2,915,738.16","892.76","2,754,560.82","843.41","4,371,011.18","1,338.34","47,863,858.19","14,655.21"
"602","13003","Atkinson County","1,557","3,570,825.33","2,293.40","16.14","16,505,820.27","10,601.04","74.58","2,053,660.94","1,318.99","9.28","22,130,306.54","14,213.43","14,281,060.42","9,172.16","966,996.40","621.06","1,395,145.01","","896.05","871,101.03","559.47","1,528,447.47","981.66","1,216,345.13","781.21","1,820,784.84","1,169.42","22,079,880.30","14,181.03"
"603","13005","Bacon County","2,067","6,679,507.34","3,231.50","21.46","21,873,995.16","10,582.48","70.29","2,565,223.00","1,241.04","8.24","31,118,725.50","15,055.02","18,421,750.83","8,912.31","1,819,601.70","880.31","2,089,258.19","","1,010.77","1,234,998.30","597.48","1,657,365.03","801.82","1,838,815.23","889.61","2,857,799.77","1,382.58","29,919,589.05","14,474.88"
"604","13007","Baker County","277","2,533,164.46","9,145.00","37.43","3,120,205.78","11,264.28","46.11","1,113,605.19","4,020.24","16.46","6,766,975.43","24,429.52","3,482,885.62","12,573.59","197,619.96","713.43","443,736.48","","1,601.94","630,581.32","2,276.47","271,224.39","979.15","345,230.98","1,246.32","638,413.25","2,304.74","6,009,692.00","21,695.64"
"605","13009","Baldwin County","4,244","24,086,072.35","5,675.32","38.9","30,188,577.20","7,113.24","48.75","7,644,487.99","1,801.25","12.35","61,919,137.54","14,589.81","36,432,311.72","8,584.43","2,860,942.33","674.11","4,886,781.18","","1,151.46","3,056,761.85","720.25","3,958,102.30","932.63","5,870,670.53","1,383.29","5,308,217.44","1,250.76","62,373,787.35","14,696.93"
"606","13011","Banks County","2,835","19,552,201.62","6,896.72","43.19","23,931,386.13","8,441.41","52.86","1,788,935.92","631.02","3.95","45,272,523.67","15,969.15","28,419,113.52","10,024.38","2,475,383.85","873.15","2,588,199.33","","912.95","2,526,161.72","891.06","2,342,239.88","826.19","2,880,179.03","1,015.94","3,328,854.19","1,174.20","44,560,131.52","15,717.87"
"607","13013","Barrow County","15,468","84,347,109.58","5,453.01","36.86","131,332,086.34","8,490.57","57.4","13,140,067.13","849.5","5.74","228,819,263.05","14,793.08","146,698,216.03","9,483.98","12,393,312.26","801.22","13,807,031.92","","892.62","9,390,988.03","607.12","11,775,064.19","761.25","14,133,220.62","913.71","17,518,415.31","1,132.56","225,716,248.36","14,592.46"
"608","13015","Bartow County","13,788","112,324,661.46","8,146.55","49.51","99,337,135.11","7,204.61","43.79","15,193,327.84","1,101.92","6.7","226,855,124.41","16,453.08","150,193,472.52","10,893.06","10,495,901.79","761.23","8,165,182.71","","592.19","7,710,888.81","559.25","15,008,038.24","1,088.49","12,760,269.52","925.46","15,967,631.69","1,158.08","220,301,385.28","15,977.76"
"609","13015","Ben Hill County","2,640","9,297,494.97","3,521.78","21.1","30,734,192.62","11,641.74","69.73","4,042,429.75","1,531.22","9.17","44,074,117.34","16,694.74","27,419,253.04","10,386.08","2,042,689.77","773.75","790,239.24","","299.33","2,610,554.45","988.85","2,437,467.79","923.28","1,992,198.63","754.62","3,027,905.48","1,146.93","40,320,308.40","15,272.84"
"610","13017","Berrien County","2,945","8,562,272.52","2,907.39","22.02","27,299,144.27","9,269.66","70.22","3,015,209.93","1,023.84","7.76","38,876,626.72","13,200.89","25,712,581.50","8,730.93","1,765,934.09","599.64","1,752,030.78","","594.92","1,516,511.97","514.94","1,988,806.40","675.32","2,382,579.88","809.03","3,084,965.90","1,047.53","38,203,410.52","12,972.31"
